"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TJKHK2WT","journalArticle","2017","Barba-Macías, Everardo; Trinidad-Ocaña, Cinthia","Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Revista Mexicana de Biodiversidad","","1870-3453","https://doi.org/10.1016/j.rmb.2016.10.021","https://www.sciencedirect.com/science/article/pii/S1870345317300544","Resumen Se proporcionan nuevos registros de la almeja asiática Corbicula fluminea (O. F Müller, 1774) para los humedales de las cuencas Papaloapan, Grijalva y Usumacinta. Se recolectó un total de 1,668 organismos en 7 localidades de la cuenca Papaloapan, 16 en Grijalva y 24 en Usumacinta, resultado de recolectas desde junio de 2011 hasta septiembre de 2015. Se registra su distribución en humedales ribereños, lacustres y estuarinos, en una diversidad de fondos desde limos hasta arenas, rocas y en sustratos con vegetación. Las mayores abundancias se presentaron para los humedales lacustres y en la cuenca del río Usumacinta. Se contribuye con el registro de 47 localidades en humedales de las cuencas del sureste, incrementando el conocimiento del estado que guardan las especies invasoras en el sureste de México, aun cuando hasta el momento no se han valorado los impactos ecológicos y económicos de las mismas. First records of the Asian clam Corbicula fluminea (O. F. Müller, 1774) are provided for wetlands in the Papaloapan, Grijalva and Usumacinta basins. A total of 1,668 individuals were colected in 7 localities in Papaloapan, 16 in Grijalva and 24 in Usumacinta basins, sampling was performed from June 2011 to September 2015, in riverine, lacustrine and estuarine wetlands, in a variety of substrates from silt to sand and rocks, and substrates with vegetation. The highest abundances were in lacustrine wetlands and in the Usumacinta watershed. This study contributes with records in 47 localities and also, to the knowledge of exotic species in southern Mexico even when the ecological and economic impacts that this species may cause have not been assessed so far.","2017","2021-08-12 13:38:59","2021-08-12 13:38:59","","450-453","","2","88","","","","","","","","","","","","","","","","","","","","","","Bivalvo exótico; Distribución; Distribution; Exotic bivalves; Lentic; Léntico; Lotic; Lótico; Mexican southeastern; Sureste mexicano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F88ZS3J2","journalArticle","2007","Valentín-Maldonado, Norma; Zúñiga-Arellano, Belem","Los moluscos de la ofrenda 107 del Templo Mayor de Tenochtitlan","Revista mexicana de biodiversidad","","","","","","2007","2021-08-12 13:42:48","2021-08-12 13:42:48","","61–70","","","78","","","","","","","","","","","","","","","","","Publisher: Instituto de Biología, UNAM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QKVLSRE","journalArticle","2007","Cózatl-Manzano, Roberto; Naranjo-García, Edna","First records of freshwater molluscs from the ecological reserve El Edén, Quintana Roo, Mexico","Revista Mexicana de Biodiversidad","","","","","","2007","2021-08-12 13:43:06","2021-08-12 13:43:06","","303–310","","2","78","","","","","","","","","","","","","","","","","Publisher: Instituto de Biología, UNAM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFR4N5Z9","journalArticle","2017","Fuentealba-Jara, Carmen; D’Elia, Guillermo; González, Fidelina; Franco-Jaccard, Cristian","Reconstrucción filogenética de Sphaeriidae (Veneroida: Bivalvia) y la posición filogenética de Pisidium chilense","Hidrobiológica","","","","","","2017","2021-08-12 13:43:35","2021-08-12 13:43:35","","115–117","","1","27","","","","","","","","","","","","","","","","","Publisher: UAM, Unidad Iztapalapa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5ZIKMGU","journalArticle","2015","Mellado Hernández, Sujeidy Vianey; Rangel Ruíz, Luis José; Gamboa Aguilar, Jaquelina; Arévalo de la Cruz, Juan Armando; Montiel Moreno, Joel; García Morales, Miguelina; Arias García, Silvia; Padrón López, Rosa Martha; Pacheco Figueroa, Coral Jazvel; Gama Campillo, Lilia","Riqueza de moluscos acuáticos en las Cuencas Hidrológicas Río Grijalva-Villahermosa y Río Tonalá, Lagunas del Carmen-Machona en Tabasco, México","Hidrobiológica","","","","","","2015","2021-08-12 13:44:09","2021-08-12 13:44:09","","239–247","","2","25","","","","","","","","","","","","","","","","","Publisher: UAM, Unidad Iztapalapa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBULYGS7","journalArticle","2008","Diniz, MS; Santos, HM; Costa, PM; Peres, I; Costa, MH; Alves, S; Capelo-Martinez, JL","Efectos de la exposición al arsénico en Corbicula fluminea: Evaluación de las respuestas histológicas, histoquímicas y bioquímicas","Ciencias marinas","","","","","","2008","2021-08-12 13:44:27","2021-08-12 13:44:27","","307–316","","3","34","","","","","","","","","","","","","","","","","Publisher: Universidad Autónoma de Baja California, Instituto de Investigaciones …","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
