ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
S0001-37652017000301041-scl,"Development of a real-time PCR assay for the detection of the golden mussel ( Limnoperna fortunei , Mytilidae) in environmental samples","PIE, MARCIO R., STRÖHER, PATRÍCIA R., AGOSTINIS, ANDRÉ O., BELMONTE-LOPES, RICARDO, TADRA-SFEIR, MICHELLE Z., OSTRENSKY, ANTONIO",Anais da Academia Brasileira de Ciências; 89(2); 1041-1045,Anais da Academia Brasileira de Ciências,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652017000301041&lang=pt 
S0073-47212017000100214-scl,Biometry of neotropical invertebrates inhabiting floodplain rivers: unraveling bionomy,"Zilli, Florencia, Barco, Julia del, Vanzetti, Agustín",Iheringia. Série Zoologia; 107(); -,Iheringia. Série Zoologia,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212017000100214&lang=pt 
S1519-69842016000100154-scl,"Limnoperna fortunei Dunker, 1857 larvae in different environments of a Neotropical floodplain: relationships of abiotic variables and phytoplankton with different stages of development","Ernandes-Silva, J., Ragonha, F. H., Jati, S., Takeda, A. M.",Brazilian Journal of Biology; 76(1); 154-161,Brazilian Journal of Biology,Inglês,2016,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000100154&lang=pt 
S1676-06032016000100109-scl,The ShearStress importance on the spatial distribution pattern of the invader Limnoperna fortunei in the Upper Paraná River Basin. - An assessment based on the Spatial Distribution Models,"Campos, Mônica de Cássia Souza, Peifer, Daniel, Castro, Paulo de Tarso",Biota Neotropica; 16(1); -,Biota Neotropica,Inglês,2016,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100109&lang=pt 
S1984-46702017000100336-scl,"Variation in the distribution of Corbicula species (Mollusca: Bivalvia: Corbiculidae) after 25 years of its introduction in the Río de la Plata, Argentina","Reshaid, Yamila, Cao, Luciana, Brea, Francisco, Blanche, María Ortiz, Torres, Santiago, Darrigran, Gustavo",Zoologia (Curitiba); 34(); -,Zoologia (Curitiba),Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702017000100336&lang=pt 
S1676-06032017000400601-scl,"Freshwater mussels from South America: state of the art of Unionida, specially Rhipidodontini","Miyahira, Igor Christo, Santos, Sonia Barbosa dos, Mansur, Maria Cristina Dreher",Biota Neotropica; 17(4); -,Biota Neotropica,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032017000400601&lang=pt 
S2179-975X2017000100409-scl,"Environmental variables driving the larval distribution of Limnoperna fortunei in the upper Paraná River floodplain, Brazil","Ernandes-Silva, Jéssica, Pinha, Gisele Daiane, Mormul, Roger Paulo",Acta Limnologica Brasiliensia; 29(); -,Acta Limnologica Brasiliensia,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2017000100409&lang=pt 
S1984-46702012000600004-scl,"Invasion process of Limnoperna fortunei (Bivalvia: Mytilidae): the case of Uruguay River and emissaries of the Esteros del Iberá Wetland, Argentina","Darrigran, Gustavo, Damborenea, Cristina, Drago, Edmundo C., Ezcurra de Drago, Inés, Paira, Aldo, Archuby, Fernando",Zoologia (Curitiba); 29(6); 531-539,Zoologia (Curitiba),Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000600004&lang=pt 
S1984-46702013000100005-scl,Size-selective predation of the catfish Pimelodus pintado (Siluriformes: Pimelodidae) on the golden mussel Limnoperna fortunei (Bivalvia: Mytilidae),"Vieira, João P., Lopes, Michelle N.",Zoologia (Curitiba); 30(1); 43-48,Zoologia (Curitiba),Inglês,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000100005&lang=pt 
S0031-10492010003400001-scl,"Prospecção do molusco invasor Limnoperna fortunei (Dunker, 1857) nos principais corpos hídricos do estado do Paraná, Brasil","Pestana, Debora, Ostrensky, Antonio, Tschá, Marcel Kruchelski, Boeger, Walter A.",Papéis Avulsos de Zoologia; 50(34); 553-559,Papéis Avulsos de Zoologia,Português,2010,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0031-10492010003400001&lang=pt 
S1519-69842010000400014-scl,Modeling the potential distribution of the invasive golden mussel Limnoperna fortunei in the Upper Paraguay River system using limnological variables,"Oliveira, MD, Hamilton, SK, Calheiros, DF, Jacobi, CM, Latini, RO",Brazilian Journal of Biology; 70(3); 831-840,Brazilian Journal of Biology,Inglês,2010,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000400014&lang=pt 
S2179-975X2012000100007-scl,"Hydrological stress as a limiting factor of the invasion of Limnoperna fortunei (Dunker, 1857) in the Upper Paraná River (Brazil)","Campos, Mônica de Cássia Souza, Lanzer, Rosane, Castro, Paulo de Tarso",Acta Limnologica Brasiliensia; 24(1); 64-82,Acta Limnologica Brasiliensia,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2012000100007&lang=pt 
