"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M3A7G5ZT","journalArticle","2014","Giraldo, Gloria, Lina PaolaChará, JuliánZúñiga, María del CarmenChará-Serna, Ana MarcelaPedraza","Impacto del uso del suelo agropecuario sobre macroinvertebrados acuáticos en pequeñas quebradas de la cuenca del río La Vieja (Valle del Cauca, Colombia)","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44932430014","Con el fin de determinar el impacto del uso del suelo sobre las características bióticas y abióticas de quebradas en la cuenca del río La Vieja, se evaluaron 21 quebradas en los municipios de Alcalá, Ulloa y Cartago (Valle del Cauca). Siete quebradas estaban protegidas por franjas de vegetación ribereña, ocho tenían influencia agrícola y seis influencia ganadera. Se registraron las condiciones de protección y perturbación del hábitat, aspectos físicos del cauce, se tomaron muestras de agua para análisis fisicoquí - mico y bacteriológico, y se recolectaron macroinvertebra - dos acuáticos. En las quebradas con influencia ganadera los sólidos disueltos, la alcalinidad, conductividad y fósforo total fueron significativamente mayores, mientras que el oxígeno disuelto fue significativamente menor. Las que - bradas agrícolas y protegidas presentaron más sustratos gruesos y más tipos de corriente. Se recolectaron 26 777 macroinvertebrados de 17 órdenes, 72 familias y 95 géne - ros. Los grupos con mayor abundancia relativa fueron Diptera 62.8%, (Chironomidae 49.6%, Ceratopogonidae 6.7%), Mollusca 18.8% (Hydrobiidae 7.2%, Sphaeriidae 9.6%) y Trichoptera 5.7% (Hydropsychidae 3.7%). Ephe - meroptera, Trichoptera y Plecoptera, presentaron mayor abundancia en las quebradas protegidas y con influencia agrícola, mientras los dípteros y moluscos fueron más abundantes en las ganaderas. Las quebradas protegidas y agrícolas presentan mejores condiciones físicas y biológi - cas que las quebradas con influencia ganadera.","2014","2021-08-12 14:03:38","2021-08-12 14:03:38","","","","","","","","","","","","","","","Español","","","","","","","","","","","agricultura; agriculture; Andean streams; aquatic insects; biomonitoreo; biomonitoring; ganadería .; insectos acuáticos; pastures.; Quebradas andinas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8AVAKRD","journalArticle","2016","Nieto, Carolina; Malizia, Agustina; Carilla, Julieta; Izquierdo, Andrea; Rodríguez, José; Cuello, Soledad; Zannier, Martín; Grau, H Ricardo","Patrones espaciales en comunidades de macroinvertebrados acuáticos de la Puna Argentina","Revista de Biología Tropical","","","","","","2016","2021-08-12 14:03:39","2021-08-12 14:03:39","","747–762","","2","64","","","","","","","","","","","","","","","","","Publisher: http://creativecommons. org/licenses/by/3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TBQL4S6","journalArticle","2001","Maria Júlia, Martins-Silva; Barros, Marilia","Occurrence and distribution of fresh-water molluscs in the Riacho Fundo Creek Basin, Brasilia, Brazil","Revista de Biologia Tropical","","","","","","2001","2021-08-12 14:03:39","2021-08-12 14:03:39","","865–870","","3-4","49","","","","","","","","","","","","","","","","","Publisher: http://creativecommons. org/licenses/by/3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
